college,rank,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,REGION,CCBASIC,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ENDOWBEGIN
Carnegie Mellon University,22,211440,324200,3242,Pittsburgh,PA,15213-3890,Middle States Commission on Higher Education,40.44357,-79.941993,2,15,2,0.1727,700,760,760,800,670,760,730,780,715,33,35,33,36,33,35,NULL,NULL,34,35,34,NULL,1513,6539,NULL,0.2484,0.0388,0.0928,0.3485,0,0.0003,0.0424,0.1612,0.0676,NULL,36775,74489,NULL,12444,0.1455,0.9346,19.34087238,0.472536349,PrivacySuppressed,0.099502488,107339.4297,91372,103000,99998,1983601568
Cornell University,23,190415,271100,2711,Ithaca,NY,14853,Middle States Commission on Higher Education,42.4472,-76.483084,2,15,2,0.1071,680,750,720,790,NULL,NULL,715,755,NULL,32,35,34,35,30,35,NULL,NULL,34,35,33,NULL,1480,14741,NULL,0.3474,0.0717,0.1464,0.2083,0.0024,0.0011,0.0501,0.0972,0.0754,NULL,37042,75204,NULL,15241,0.1622,0.9536,19.83941158,0.533558075,0.005822862,0.154164018,96568.98744,75110,101200,91176,6974636536
University of California - Los Angeles,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Michigan - Ann Arbor,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia Institute of Technology,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Virginia,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Southern California,28,123961,132800,1328,Los Angeles,CA,90089,Western Association of Schools and Colleges Senior Colleges and University Commission,34.021281,-118.284169,8,15,2,0.1611,660,740,680,790,650,750,700,735,700,30,34,32,35,28,34,NULL,NULL,32,34,31,NULL,1441,19521,NULL,0.3511,0.0499,0.1654,0.231,0.0013,0.0029,0.0609,0.1198,0.0179,NULL,32569,77362,NULL,15301,0.1964,0.9167,20.6335175,0.55406472,0.01578532,0.24717833,80335.79216,45149,88800,83426,5739565000
Claremont McKenna College,29,112260,117000,1170,Claremont,CA,91711-6400,Western Association of Schools and Colleges Senior Colleges and University Commission,34.102154,-117.711188,8,21,2,0.1334,660,730,670,770,690,760,695,720,725,31,34,33,35,28,33,NULL,NULL,33,34,31,NULL,1436,1262,NULL,0.3788,0.0499,0.1704,0.1347,0.0016,0.0016,0.0713,0.1418,0.0499,NULL,21993,76475,NULL,14819,0.1772,0.9228,19.49765258,0.488262911,PrivacySuppressed,PrivacySuppressed,97309.96244,71150,93200,86571,865475000
Bowdoin College,30,161004,203800,2038,Brunswick,ME,4011,New England Commission on Higher Education,43.907134,-69.963942,1,21,2,0.0916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1776,NULL,0.5619,0.0771,0.1064,0.0935,0.0034,0.0006,0.0805,0.0721,0.0045,NULL,22840,73800,NULL,12445,0.1559,0.9499,19.38782051,0.506410256,PrivacySuppressed,0.188356164,96476.61218,61622.5,83300,66864,1743671000
Swarthmore College,31,216287,337000,3370,Swarthmore,PA,19081,Middle States Commission on Higher Education,39.905159,-75.354278,2,21,2,0.0906,690,750,705,790,680,760,720,748,720,31,34,33,36,29,34,8,10,33,35,32,9,1467,1435,NULL,0.3303,0.0801,0.131,0.1784,0.0028,0.0014,0.0892,0.1505,0.0362,NULL,20813,73932,NULL,13299,0.2034,0.9729,19.33453237,0.54676259,PrivacySuppressed,0.268774704,89476.70144,48016,70000,72637,2131553000
